,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1920 a 1929,1923,187,17,nan,http://memoria.bn.br/docreader/364568_11/10412
1,"""clemence royer""",2022-01-22,Tribuna da Imprensa (RJ) - 1949 a 1959,1954,309,10,154083_01_15292.jpg,http://memoria.bn.br/docreader/154083_01/15292
2,"""clemence royer""",2022-10-07,A Provincia : Orgão do Partido Liberal (PE) - 1872 a 1919,1902,8,1,128066_01_11323.jpg,http://memoria.bn.br/docreader/128066_01/11323
3,"""clemence royer""",2022-01-22,O Paiz (RJ) - 1884 a 1889,1887,942,2,178691_01_3912.jpg,http://memoria.bn.br/docreader/178691_01/3912
4,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,1,263,060917_03_30173.jpg,http://memoria.bn.br/docreader/060917_03/30173
5,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,1,264,060917_03_30174.jpg,http://memoria.bn.br/docreader/060917_03/30174
6,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,2,75,060917_03_30672.jpg,http://memoria.bn.br/docreader/060917_03/30672
7,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,2,76,060917_03_30673.jpg,http://memoria.bn.br/docreader/060917_03/30673
8,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1911,17,1,800643_12772.jpg,http://memoria.bn.br/docreader/800643/12772
9,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1911,23,1,800643_12800.jpg,http://memoria.bn.br/docreader/800643/12800
10,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1931,291,1,800643_49855.jpg,http://memoria.bn.br/docreader/800643/49855
11,"""clemence royer""",2022-01-22,Diario de Noticias (RJ) - 1930 a 1939,1931,286,9,093718_01_4527.jpg,http://memoria.bn.br/docreader/093718_01/4527
12,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1910 a 1919,nan,nan,6,nan,http://memoria.bn.br/docreader/364568_10/17720
13,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1910 a 1919,nan,nan,15,nan,http://memoria.bn.br/docreader/364568_10/21263
14,"""clemence royer""",2022-01-22,O Jornal (RJ) - 1930 a 1939,1931,745,20,nan,http://memoria.bn.br/docreader/110523_03/6255
15,"""clemence royer""",2022-01-22,Lusitania : Revista Illustrada de actualidades e de aproximação Luso-Brasileira (RJ) - 1929,1930,34,6,830437_1866.jpg,http://memoria.bn.br/docreader/830437/1866
16,"""clemence royer""",2022-10-07,O Commercio de São Paulo (SP) - 1893 a 1909,1902,859,2,227900_10665.jpg,http://memoria.bn.br/docreader/227900/10665
17,"""clemence royer""",2022-01-22,Diario de Noticias (RJ) - 1940 a 1949,1940,436,12,093718_02_2141.jpg,http://memoria.bn.br/docreader/093718_02/2141
18,"""clemence royer""",2022-01-22,O Imparcial (RJ) - 1920 a 1929,1925,492,6,107670_02_22389.jpg,http://memoria.bn.br/docreader/107670_02/22389
19,"""clemence royer""",2022-10-07,Máscara (RS) - 1918 a 1928,1919,003B,448,174181x_2042.jpg,http://memoria.bn.br/docreader/174181x/2042
20,"""clemence royer""",2022-10-07,Máscara (RS) - 1918 a 1928,1919,017,26,174181x_2619.jpg,http://memoria.bn.br/docreader/174181x/2619
21,"""clemence royer""",2022-10-07,O Jornal (MA) - 1916 a 1923,1922,144,2,720593_7511.jpg,http://memoria.bn.br/docreader/720593/7511
22,"""clemence royer""",2022-10-07,O Pharol (SP) - 1901,1901,2,3,233846_7.jpg,http://memoria.bn.br/docreader/233846/7
23,"""clemence royer""",2022-10-07,O Cearense (CE) - 1846 a 1891,1877,2,1,709506_11507.jpg,http://memoria.bn.br/docreader/709506/11507
24,"""clemence royer""",2022-01-22,Jornal do Brasil (RJ) - 1900 a 1909,1900,94,3,nan,http://memoria.bn.br/docreader/030015_02/8282
25,"""clemence royer""",2022-01-22,Diario Carioca (RJ) - 1930 a 1939,1931,5,6,093092_02_6241.jpg,http://memoria.bn.br/docreader/093092_02/6241
26,"""clemence royer""",2022-01-22,Revista Americana (RJ) - 1909 a 1919,1912,005-00006,170,052558_3831.jpg,http://memoria.bn.br/docreader/052558/3831
27,"""clemence royer""",2022-01-22,A Cruz : Orgão da Parochia de S. João Baptista (RJ) - 1919 a 1923,1930,36,2,829706_2300.jpg,http://memoria.bn.br/docreader/829706/2300
28,"""clemence royer""",2022-10-07,Diário da Manhã (PE) - 1930 a 1939,1937,4,12,093262_02_29549.jpg,http://memoria.bn.br/docreader/093262_02/29549
29,"""clemence royer""",2022-10-07,Pacotilha (MA) - 1880 a 1909,1904,53,1,168319_01_27446.jpg,http://memoria.bn.br/docreader/168319_01/27446
30,"""clemence royer""",2022-10-07,Pacotilha (MA) - 1880 a 1909,1907,69,1,168319_01_30927.jpg,http://memoria.bn.br/docreader/168319_01/30927
31,"""clemence royer""",2022-10-07,Pacotilha (MA) - 1880 a 1909,1907,253,2,168319_01_31660.jpg,http://memoria.bn.br/docreader/168319_01/31660
32,"""clemence royer""",2022-10-07,Diario de Pernambuco (PE) - 1920 a 1929,1926,182,2,nan,http://memoria.bn.br/docreader/029033_10/18338
33,"""clemence royer""",2022-10-07,A Provincia (PE) - 1920 a 1933,1920,7,1,128066_02_49.jpg,http://memoria.bn.br/docreader/128066_02/49
34,"""clemence royer""",2022-10-07,A Provincia (PE) - 1920 a 1933,1920,295,1,128066_02_2352.jpg,http://memoria.bn.br/docreader/128066_02/2352
35,"""clemence royer""",2022-10-07,Diario de Pernambuco (PE) - 1930 a 1939,1934,244,28,nan,http://memoria.bn.br/docreader/029033_11/13083
36,"""clemence royer""",2022-01-22,O Brazil (RJ) - 1890 a 1891,1890,91,2,800023_76.jpg,http://memoria.bn.br/docreader/800023/76
37,"""clemence royer""",2022-01-22,Correio da Manhã (RJ) - 1901 a 1909,1905,531,1,089842_01_8935.jpg,http://memoria.bn.br/docreader/089842_01/8935
38,"""clemence royer""",2022-01-22,O Paiz (RJ) - 1900 a 1909,1900,647,2,178691_03_450.jpg,http://memoria.bn.br/docreader/178691_03/450
39,"""clemence royer""",2022-01-22,Gazeta de Noticias (RJ) - 1880 a 1889,1887,125,2,103730_02_12016.jpg,http://memoria.bn.br/docreader/103730_02/12016
40,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1900 a 1909,1902,73,1,nan,http://memoria.bn.br/docreader/364568_09/4249
41,"""clemence royer""",2022-10-07,Mascara (RS) - 1918 a 1928,1919,3,487,174181_2042.jpg,http://memoria.bn.br/docreader/174181/2042
42,"""clemence royer""",2022-10-07,Mascara (RS) - 1918 a 1928,1919,17,26,174181_2619.jpg,http://memoria.bn.br/docreader/174181/2619
43,"""clemence royer""",2022-01-22,Correio da Manhã (RJ) - 1936 a 1939,1930,803,21,089842_04_1068.jpg,http://memoria.bn.br/docreader/089842_04/1068
44,"""clemence royer""",2022-01-22,A Noticia (RJ) - 1894 a 1916,1897,54,3,830380_2536.jpg,http://memoria.bn.br/docreader/830380/2536
45,"""clemence royer""",2022-10-07,Pacotilha (MA) - 1910 a 1938,1913,153,2,168319_02_4708.jpg,http://memoria.bn.br/docreader/168319_02/4708
46,"""clemence royer""",2022-10-07,A Republica : orgão do Partido Republicano (RN) - 1897 a 1907,1902,63,1,138924_1704.jpg,http://memoria.bn.br/docreader/138924/1704
47,"""clemence royer""",2022-01-22,Jornal do Brasil (RJ) - 1890 a 1899,1892,347,2,nan,http://memoria.bn.br/docreader/030015_01/2459
48,"""clemence royer""",2022-01-22,Revista da Semana (RJ) - 1921 a 1929,1927,18,8,025909_02_13713.jpg,http://memoria.bn.br/docreader/025909_02/13713
49,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1890 a 1899,1897,104,3,nan,http://memoria.bn.br/docreader/364568_08/24500
50,"""clemence royer""",2022-01-22,Reformador (RJ) - 1883 a 1902,1890,176,2,830127_715.jpg,http://memoria.bn.br/docreader/830127/715
51,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1880 a 1888,1888,604,1,090972_04_10502.jpg,http://memoria.bn.br/docreader/090972_04/10502
52,"""clemence royer""",2022-01-22,Boletim do Grande Oriente Unido e Supremo Conselho do Brazil : Jornal Offical da Maçonaria Brazileira (RJ) - 1873 a 1877,1874,004-00007,342,074594_1352.jpg,http://memoria.bn.br/docreader/074594/1352
53,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1951,296,8,090972_10_8195.jpg,http://memoria.bn.br/docreader/090972_10/8195
54,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1952,554,9,090972_10_12296.jpg,http://memoria.bn.br/docreader/090972_10/12296
55,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1953,880,9,090972_10_17508.jpg,http://memoria.bn.br/docreader/090972_10/17508
56,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1954,997,4,090972_10_19379.jpg,http://memoria.bn.br/docreader/090972_10/19379
57,"""clemence royer""",2022-01-22,O Apostolo : Periodico religioso  moral e doutrinario  consagrado aos interesses da religião e da sociedade (RJ) - 1866 a 1901,1888,118,2,343951_11448.jpg,http://memoria.bn.br/docreader/343951/11448
58,"""clemence royer""",2022-01-22,Fon Fon : Semanario Alegre  Politico  Critico e Espusiante (RJ) - 1907 a 1958,1910,26,4,259063_4702.jpg,http://memoria.bn.br/docreader/259063/4702
59,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1876,116,2,705110_11799.jpg,http://memoria.bn.br/docreader/705110/11799
60,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1894,118,2,705110_33925.jpg,http://memoria.bn.br/docreader/705110/33925
61,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1897,74,2,705110_38059.jpg,http://memoria.bn.br/docreader/705110/38059
62,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1899,188,1,705110_41144.jpg,http://memoria.bn.br/docreader/705110/41144
63,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1917,11,1,705110_70363.jpg,http://memoria.bn.br/docreader/705110/70363
64,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1920,251,4,705110_80922.jpg,http://memoria.bn.br/docreader/705110/80922
65,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1920,292,2,705110_81230.jpg,http://memoria.bn.br/docreader/705110/81230
66,"""clemence royer""",2022-10-07,Jornal de Recife (PE) - 1858 a 1938,1932,54,2,705110_115517.jpg,http://memoria.bn.br/docreader/705110/115517
67,"""clemence royer""",2022-01-22,"L'italia : In Continuazione Del ""Cosmopolita"" (RJ) - 1885 a 1889",1886,211,2,811505_1024.jpg,http://memoria.bn.br/docreader/811505/1024
68,"""clemence royer""",2022-10-07,Gazeta do Norte : Orgão Liberal (CE) - 1880 a 1890,1881,150,3,103950_1219.jpg,http://memoria.bn.br/docreader/103950/1219
69,"""clemence royer""",2022-10-07,Gazeta do Norte : Orgão Liberal (CE) - 1880 a 1890,1881,150,3,103950_1607.jpg,http://memoria.bn.br/docreader/103950/1607
70,"""clemence royer""",2022-10-07,Gazeta do Norte : Orgão Liberal (CE) - 1880 a 1890,1881,179,1,103950_1718.jpg,http://memoria.bn.br/docreader/103950/1718
71,"""clemence royer""",2022-01-22,Jornal do Brasil (RJ) - 1930 a 1939,1936,248,16,nan,http://memoria.bn.br/docreader/030015_05/69203
72,"""clemence royer""",2022-01-22,Jornal do Brasil (RJ) - 1930 a 1939,1936,266,19,nan,http://memoria.bn.br/docreader/030015_05/69900
73,"""clemence royer""",2022-10-07,Diario do Maranhão (MA) - 1855 a 1911,1902,601,2,720011_34447.jpg,http://memoria.bn.br/docreader/720011/34447
74,"""clemence royer""",2022-10-07,Diario do Maranhão (MA) - 1855 a 1911,1909,925,1,720011_42535.jpg,http://memoria.bn.br/docreader/720011/42535
75,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1900 a 1919,1908,950,2,090972_06_12367.jpg,http://memoria.bn.br/docreader/090972_06/12367
76,"""clemence royer""",2022-01-22,A Familia : jornal litterario dedicado a educação da mãe e familia (RJ) - 1888 a 1894,1893,155,4,379034_829.jpg,http://memoria.bn.br/docreader/379034/829
77,"""clemence royer""",2022-01-22,Revista Moderna (RJ) - 1897 a 1899,1898,25,55,282383_1053.jpg,http://memoria.bn.br/docreader/282383/1053
78,"""clemence royer""",2022-10-07,A Federação : Orgam do Partido Republicano (RS) - 1884 a 1937,1907,233,1,388653_19499.jpg,http://memoria.bn.br/docreader/388653/19499
79,"""clemence royer""",2022-10-07,A Federação : Orgam do Partido Republicano (RS) - 1884 a 1937,1911,30,1,388653_23679.jpg,http://memoria.bn.br/docreader/388653/23679
80,"""clemence royer""",2022-10-07,A Federação : Orgam do Partido Republicano (RS) - 1884 a 1937,1927,238,5,388653_62320.jpg,http://memoria.bn.br/docreader/388653/62320
81,"""clemence royer""",2022-10-07,A Tribuna (SP) - 1907 a 1926 e 1939,1908,14,1,153931_00_566.jpg,http://memoria.bn.br/docreader/153931_00/566
82,"""clemence royer""",2022-10-07,A Tribuna (SP) - 1907 a 1926 e 1939,1909,189,1,153931_00_2608.jpg,http://memoria.bn.br/docreader/153931_00/2608
83,"""clemence royer""",2022-01-22,O Fluminense (RJ) - 1900 a 1909,1907,727,2,nan,http://memoria.bn.br/docreader/100439_04/10474
